Scheme,Unit,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Taupo,cumecs,1946,118.4334286,128.6831429,184.6207143,247.3757143,94.27528571,145.7375714,88.82228571,163.5145714,141.5354286,110.4907143,100.8201429,117.9905714,131.88,111.9174286,92.28385714,105.2962857,195.2752857,225.6128571,225.2997143,268.7221429,355.7215714,307.2961429,208.3434286,187.6431429,167.1498571,250.0364286,330.8514286,278.4592857,182.7105714,154.7444286,212.5602857,220.1467143,143.9488571,240.4168571,199.8441429,145.78,144.0652857,138.1807143,112.5712857,81.159,201.0751429,152.594,114.4548571,123.2754286,81.91028571,74.78557143,115.4412857,63.57942857,61.03214286,85.68371429,71.868,62.96157143,62.96157143
Taupo,cumecs,1947,89.682,64.53385714,73.39228571,138.8808571,104.7068571,86.65514286,57.93414286,99.46614286,62.71028571,81.56242857,164.1194286,229.1704286,375.6661429,292.0717143,142.6572857,287.0465714,244.7318571,181.8134286,128.9041429,157.6872857,188.1337143,153.2538571,201.9614286,212.8651429,205.1684286,156.4135714,140.3507143,254.956,297.7835714,224.9758571,228.006,179.6365714,139.9822857,112.1954286,109.6308571,148.6057143,170.2872857,123.433,168.0152857,127.9837143,82.51685714,133.429,208.7272857,96.26657143,83.25485714,103.4655714,57.04828571,65.02328571,45.91828571,77.39585714,54.64528571,73.91457143,54.96585714
Taupo,cumecs,1948,100.972,21.53842857,130.7722857,191.948,93.13385714,160.5464286,206.0551429,348.36,271.19,211.0377143,111.2084286,161.3951429,199.7245714,209.6678571,205.1432857,173.7848571,290.9824286,227.9565714,165.0698571,166.6615714,135.2067143,226.9385714,158.6901429,123.1485714,150.0081429,140.0767143,248.8804286,209.9715714,187.7124286,241.2915714,208.4718571,174.0632857,211.9821429,156.9655714,177.8542857,124.5097143,111,123.3465714,115.2017143,142.311,167.5547143,126.4802857,97.07228571,57.87157143,90.35957143,127.15,148.4258571,95.54614286,116.8788571,140.6101429,101.7401429,48.35842857,48.35842857
Taupo,cumecs,1949,49.88685714,127.8305714,67.44185714,148.9602857,113.7577143,285.9274286,201.3102857,114.6558571,222.6654286,250.86,279.8525714,150.145,282.317,213.8174286,225.838,174.8441429,231.4647143,364.4871429,240.4555714,182.1344286,139.8238571,172.9565714,126.9952857,130.72,205.2592857,122.9274286,139.3885714,146.4234286,165.9751429,140.1165714,146.5664286,237.1262857,137.6235714,123.5285714,84.21971429,98.92614286,137.5311429,75.63485714,122.2781429,87.34242857,77.23414286,51.34157143,58.68457143,61.54542857,63.04142857,313.6905714,72.108,87.28571429,76.30657143,26.479,54.49614286,58.38042857,58.38042857
Taupo,cumecs,1950,63.77757143,52.98671429,165.9442857,59.90728571,59.85371429,60.42542857,125.0161429,84.35328571,139.4751429,126.2098571,142.0547143,77.70157143,109.7785714,224.9732857,125.1412857,138.8438571,104.8968571,80.42214286,229.9892857,127.4575714,155.9534286,135.095,222.2997143,179.1071429,116.9455714,105.2677143,107.2032857,122.8087143,130.3384286,132.0594286,155.1827143,237.2814286,216.871,168.3887143,108.2355714,88.15942857,88.77428571,102.9784286,109.1932857,186.9174286,132.6652857,93.67014286,85.80642857,154.4022857,96.22657143,150.2364286,87.62757143,69.85257143,138.0571429,95.46471429,72.04742857,90.61514286,90.61514286
Taupo,cumecs,1951,71.74514286,101.4851429,82.64842857,124.4354286,110.2428571,39.81771429,113.3031429,101.4591429,91.88014286,106.0267143,108.2275714,151.4627143,115.5455714,95.221,343.4647143,163.8287143,233.2434286,215.9814286,115.7084286,186.1477143,132.8035714,129.9161429,103.846,116.0197143,77.11114286,107.5941429,137.6148571,160.4538571,88.758,206.6641429,274.2817143,251.9141429,279.1101429,198.1957143,175.8864286,255.0085714,185.1185714,203.7172857,238.9832857,90.21585714,106.9008571,198.9132857,119.817,123.3427143,110.2255714,162.0357143,105.9527143,175.5677143,107.3047143,80.383,55.27485714,66.20628571,66.20628571
Taupo,cumecs,1952,78.40971429,60.14542857,39.67314286,123.3455714,152.6111429,168.7741429,58.83528571,109.3457143,128.1791429,266.1755714,399.5565714,282.7305714,236.5608571,310.2178571,337.8874286,176.4781429,198.6682857,113.2321429,171.743,186.6508571,169.9757143,144.2501429,150.2052857,130.3551429,170.2038571,107.0385714,87.91014286,150.5915714,222.5712857,190.6067143,116.883,258.967,327.9868571,281.7177143,245.0412857,285.7435714,264.2178571,237.4487143,196.8051429,200.5524286,188.8742857,135.5294286,113.2962857,165.192,149.8531429,131.8347143,188.0267143,91.28342857,101.7495714,90.28057143,65.01471429,78.00657143,78.00657143
Taupo,cumecs,1953,102.3628571,128.317,89.93214286,88.60271429,115.0034286,213.9925714,199.8704286,168.8837143,189.7667143,238.8634286,315.7815714,195.787,186.522,264.7768571,348.5805714,262.8765714,219.7292857,277.9915714,145.8377143,194.9231429,244.8,276.729,168.7541429,212.7885714,199.5427143,148.8082857,150.2227143,270.9302857,269.173,179.4644286,168.8961429,168.793,265.1851429,261.6194286,122.8892857,141.9505714,125.9704286,164.8381429,127.9405714,133.6337143,116.1297143,156.6788571,92.77328571,92.55757143,86.80885714,111.6141429,78.297,110.881,79.35214286,165.9947143,178.1874286,90.76942857,72.166
Taupo,cumecs,1954,60.59385714,85.34542857,119.3085714,111.7655714,77.69885714,110.2502857,88.89971429,183.7774286,117.8335714,91.65914286,149.8428571,195.2588571,102.6535714,90.54014286,129.4402857,172.0064286,167.1072857,140.4174286,78.25885714,254.5981429,151.793,251.2211429,177.5591429,223.7868571,155.157,103.9052857,104.3094286,123.6697143,84.76171429,97.81285714,85.61528571,90.56828571,130.852,89.40385714,122.7282857,72.34014286,140.6915714,143.8784286,214.558,86.77285714,89.74485714,121.5472857,100.2898571,45.13157143,90.01971429,85.01714286,171.4162857,118.8411429,92.18,78.22385714,53.50914286,44.23157143,44.23157143
Taupo,cumecs,1955,55.73371429,65.93271429,54.77928571,230.7715714,194.786,231.1772857,216.2487143,262.359,162.6231429,272.4788571,161.834,155.6377143,187.912,181.6262857,144.3367143,154.1122857,232.5102857,162.2431429,169.5077143,260.7298571,158.2024286,228.4654286,160.4961429,215.0708571,125.6821429,206.2494286,182.3397143,168.4251429,226.2051429,194.6344286,157.593,192.9252857,144.8042857,147.1878571,117.715,122.1928571,203.5024286,205.6387143,94.18357143,98.79828571,233.3161429,197.3472857,113.4565714,137.0287143,145.8925714,63.40185714,145.9404286,88.35985714,88.00485714,59.23085714,59.44228571,80.65257143,80.65257143
